ACCESSION	ORGANISM	TAXONOMY	PREVIOUS_GENE	CONTROL_REGION	NEXT_GENE
['NC_007400']	Acrochordus granulatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Serpentes', 'Acrochordoidea', 'Acrochordidae', 'Acrochordus']	        misc_feature [17066:17090](+) None	misc_feature [17411:17429](+) None	misc_feature [17066:17090](+) None	
['NC_007399']	Python regius	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Serpentes', 'Henophidia', 'Pythonidae', 'Python']	        misc_feature [16881:16905](+) None	misc_feature [16943:16961](+) None	misc_feature [16881:16905](+) None	
['NC_007401']	Cylindrophis ruffus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Serpentes', 'Henophidia', 'Cylindrophiidae', 'Cylindrophis']	        misc_feature [17058:17082](+) None	misc_feature [17412:17430](+) None	stem_loop [16365:16402](+) None	
['NC_007402']	Xenopeltis unicolor	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Serpentes', 'Henophidia', 'Xenopeltidae', 'Xenopeltis']	        misc_feature [17859:17883](+) None	misc_feature [18065:18083](+) None	misc_feature [17859:17883](+) None	
['NC_007395']	Merlangius merlangus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Zeiogadaria', 'Gadariae', 'Gadiformes', 'Gadoidei', 'Gadidae', 'Merlangius']	        misc_feature [15568:15696](+) None	tRNA [15624:15695](-) ['tRNA-Pro']	tRNA [15624:15695](-) ['tRNA-Pro']	
['NC_002197']	Ciconia ciconia	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Ciconiiformes', 'Ciconiidae', 'Ciconia']	        misc_feature [16753:17272](-) None	tRNA [17274:17347](-) ['tRNA-Glu']	repeat_region [1143:1453](+) None	
['NC_002196']	Ciconia boyciana	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Ciconiiformes', 'Ciconiidae', 'Ciconia']	        misc_feature [17028:17547](-) None	tRNA [17549:17622](-) ['tRNA-Glu']	repeat_region [1210:1526](+) None	
['NC_007444']	Squilla empusa	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Crustacea', 'Multicrustacea', 'Malacostraca', 'Eumalacostraca', 'Hoplocarida', 'Stomatopoda', 'Squillidae', 'Squilla']	        gene [15761:15828](-) None	tRNA [15761:15828](-) ['tRNA-Tyr']	gene [14402:14471](+) None	
['NC_007442']	Gonodactylus chiragra	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Crustacea', 'Multicrustacea', 'Malacostraca', 'Eumalacostraca', 'Hoplocarida', 'Stomatopoda', 'Gonodactylidae', 'Gonodactylus']	        tRNA [16145:16209](-) ['tRNA-Cys']	tRNA [16211:16279](-) ['tRNA-Tyr']	tRNA [14864:14933](+) ['tRNA-Ile']	
['NC_007446']	Andrias japonicus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Amphibia', 'Batrachia', 'Caudata', 'Cryptobranchoidea', 'Cryptobranchidae', 'Andrias']	        tRNA [15456:15528](-) ['tRNA-Pro']	misc_feature [15528:16298](+) None	source [0:16298](+) None	
['NC_007598']	Nisaetus nipalensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Accipitriformes', 'Accipitridae', 'Accipitrinae', 'Nisaetus']	        misc_feature [16243:17038](+) None	misc_feature [17104:17650](+) None	tRNA [2372:2442](-) ['tRNA-Pro']	
['NC_007600']	Leptotrombidium deliense	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Acari', 'Acariformes', 'Trombidiformes', 'Prostigmata', 'Anystina', 'Parasitengona', 'Trombiculoidea', 'Trombiculidae', 'Leptotrombidium']	        misc_feature [13375:13672](+) None	tRNA [13679:13727](+) ['tRNA-Ile']	tRNA [11681:11737](-) ['tRNA-Trp']	
['NC_007601']	Leptotrombidium akamushi	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Acari', 'Acariformes', 'Trombidiformes', 'Prostigmata', 'Anystina', 'Parasitengona', 'Trombiculoidea', 'Trombiculidae', 'Leptotrombidium']	        misc_feature [13338:13635](+) None	tRNA [13645:13694](+) ['tRNA-Ile']	tRNA [11645:11701](-) ['tRNA-Trp']	
['NC_007599']	Nisaetus alboniger	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Accipitriformes', 'Accipitridae', 'Accipitrinae', 'Nisaetus']	        misc_feature [16554:17349](+) None	misc_feature [17415:17961](+) None	tRNA [2376:2446](-) ['tRNA-Pro']	
['NC_007630']	Dasyurus hallucatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Metatheria', 'Dasyuromorphia', 'Dasyuridae', 'Dasyurus']	        tRNA [15428:15495](-) ['tRNA-Pro']	misc_feature [15495:17159](+) None	source [0:17159](+) None	
['NC_007631']	Sminthopsis crassicaudata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Metatheria', 'Dasyuromorphia', 'Dasyuridae', 'Sminthopsis']	        tRNA [15442:15509](-) ['tRNA-Pro']	misc_feature [15509:17363](+) None	source [0:17363](+) None	
['NC_007628']	Cathartes aura	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Accipitriformes', 'Cathartidae', 'Cathartes']	        misc_feature [15602:16779](+) None	repeat_region [16669:16767](+) None	repeat_region [16669:16767](+) None	
['NC_007694']	Stigmochelys pardalis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Testudinata', 'Testudines', 'Cryptodira', 'Durocryptodira', 'Testudinoidea', 'Testudinidae', 'Stigmochelys']	        tRNA [15447:15518](-) ['tRNA-Pro']	misc_feature [15518:19403](+) None	source [0:19403](+) None	
['NC_007695']	Indotestudo elongata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Testudinata', 'Testudines', 'Cryptodira', 'Durocryptodira', 'Testudinoidea', 'Testudinidae', 'Indotestudo']	        tRNA [15429:15498](+) ['tRNA-Pro']	misc_feature [15498:16788](+) None	source [0:16788](+) None	
['NC_007692']	Testudo graeca	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Testudinata', 'Testudines', 'Cryptodira', 'Durocryptodira', 'Testudinoidea', 'Testudinidae', 'Testudo']	        tRNA [15438:15507](+) ['tRNA-Pro']	misc_feature [15507:19278](+) None	source [0:19278](+) None	
['NC_007697']	Testudo horsfieldii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Testudinata', 'Testudines', 'Cryptodira', 'Durocryptodira', 'Testudinoidea', 'Testudinidae', 'Testudo']	        tRNA [15441:15511](+) ['tRNA-Pro']	misc_feature [15511:17093](+) None	source [0:17093](+) None	
['NC_007699']	Testudo kleinmanni	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Testudinata', 'Testudines', 'Cryptodira', 'Durocryptodira', 'Testudinoidea', 'Testudinidae', 'Testudo']	        tRNA [15449:15519](+) ['tRNA-Pro']	misc_feature [15519:17670](+) None	source [0:17670](+) None	
['NC_007698']	Testudo marginata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Testudinata', 'Testudines', 'Cryptodira', 'Durocryptodira', 'Testudinoidea', 'Testudinidae', 'Testudo']	        tRNA [15427:15495](+) ['tRNA-Pro']	misc_feature [15495:19438](+) None	source [0:19438](+) None	
['NC_007696']	Indotestudo forstenii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Testudinata', 'Testudines', 'Cryptodira', 'Durocryptodira', 'Testudinoidea', 'Testudinidae', 'Indotestudo']	        tRNA [15432:15501](+) ['tRNA-Pro']	misc_feature [15501:16952](+) None	source [0:16952](+) None	
['NC_007693']	Manouria emys	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Testudinata', 'Testudines', 'Cryptodira', 'Durocryptodira', 'Testudinoidea', 'Testudinidae', 'Manouria']	        tRNA [15438:15507](+) ['tRNA-Pro']	misc_feature [15507:16455](+) None	source [0:16455](+) None	
['NC_007700']	Malacochersus tornieri	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Testudinata', 'Testudines', 'Cryptodira', 'Durocryptodira', 'Testudinoidea', 'Testudinidae', 'Malacochersus']	        tRNA [17451:17519](+) ['tRNA-Pro']	misc_feature [17519:19202](+) None	source [0:19202](+) None	
['NC_002471']	Typhlonectes natans	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Amphibia', 'Gymnophiona', 'Typhlonectidae', 'Typhlonectes']	        tRNA [15307:15375](-) ['tRNA-Pro']	D-loop [15375:17005](+) None	source [0:17005](+) None	
['NC_007883']	Menura novaehollandiae	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Passeriformes', 'Menuridae', 'Menura']	        misc_feature [17078:17552](-) None	tRNA [17594:17666](-) ['tRNA-Glu']	repeat_region [16100:16880](+) None	
['NC_007892']	Phractolaemus ansorgii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Gonorynchiformes', 'Kneriidae', 'Phractolaeminae', 'Phractolaemus']	        tRNA [15594:15663](-) ['tRNA-Pro']	D-loop [15663:16511](+) None	source [0:16511](+) None	
['NC_007887']	Ranzania laevis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Tetraodontiformes', 'Molidae', 'Ranzania']	        tRNA [15600:15670](-) ['tRNA-Pro']	D-loop [15670:16478](+) None	source [0:16478](+) None	
['NC_007911']	Siphonops annulatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Amphibia', 'Gymnophiona', 'Siphonopidae', 'Siphonops']	        tRNA [15392:15461](-) ['tRNA-Pro']	D-loop [15461:16202](+) None	source [0:16202](+) None	
['NC_007939']	Verasper variegatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Carangaria', 'Pleuronectiformes', 'Pleuronectoidei', 'Pleuronectidae', 'Verasper']	        D-loop [15701:17273](+) None	repeat_region [16531:17036](+) None	repeat_region [16531:17036](+) None	
['NC_007978']	Synthliboramphus antiquus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Charadriiformes', 'Alcidae', 'Synthliboramphus']	        misc_feature [15309:16152](+) None	misc_feature [16170:16713](+) None	tRNA [3080:3152](+) ['tRNA-Phe']	
['NC_007979']	Phaethon rubricauda	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Pelecaniformes', 'Phaethontidae', 'Phaethon']	        misc_feature [16359:17202](+) None	misc_feature [17220:17763](+) None	tRNA [4106:4176](+) ['tRNA-Phe']	
['NC_007975']	Cnemotriccus fuscatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Passeriformes', 'Tyrannidae', 'Cnemotriccus']	        misc_feature [16402:16921](-) None	tRNA [16923:16993](-) ['tRNA-Glu']	tRNA [16318:16387](-) ['tRNA-Pro']	
['NC_002521']	Tupaia belangeri	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Scandentia', 'Tupaiidae', 'Tupaia']	        tRNA [15337:15404](-) ['tRNA-Pro']	misc_feature [15404:16754](+) None	source [0:16754](+) None	
['NC_011818']	Accipiter gentilis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Accipitriformes', 'Accipitridae', 'Accipitrinae', 'Accipiter']	        misc_feature [16840:17635](+) None	misc_feature [17701:18241](+) None	tRNA [3191:3261](-) ['tRNA-Pro']	
['NC_014889']	Pungitius sinensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Gasterosteales', 'Gasterosteidae', 'Pungitius']	        tRNA [15590:15660](-) ['tRNA-Pro']	D-loop [15660:16581](+) None	source [0:16581](+) None	
['NC_014893']	Pungitius kaibarae	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Gasterosteales', 'Gasterosteidae', 'Pungitius']	        tRNA [15598:15668](-) ['tRNA-Pro']	D-loop [15668:16505](+) None	source [0:16505](+) None	
['NC_016196']	Kallima inachus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Papilionoidea', 'Nymphalidae', 'Nymphalinae', 'Kallima']	        rRNA [14033:14807](-) ['s-rRNA']	D-loop [14807:15183](+) None	source [0:15183](+) None	
['NC_016672']	Sillago sihama	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Sillaginidae', 'Sillago']	        tRNA [15618:15689](-) ['tRNA-Pro']	D-loop [15689:16599](+) None	source [0:16599](+) None	
['NC_018534']	Hemibarbus maculatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Gobionidae', 'Hemibarbus-Squalidus clade', 'Hemibarbus']	        tRNA [15610:15678](-) ['tRNA-Pro']	misc_feature [15678:16611](+) None	source [0:16611](+) None	
['NC_018539']	Rhinolophus luctus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Chiroptera', 'Microchiroptera', 'Rhinolophidae', 'Rhinolophinae', 'Rhinolophus']	        tRNA [15378:15445](-) ['tRNA-Pro']	D-loop [15445:16775](+) None	source [0:16775](+) None	
['NC_018546']	Oryzias melastigma	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Beloniformes', 'Adrianichthyidae', 'Oryziinae', 'Oryzias']	        tRNA [15567:15637](-) ['tRNA-Pro']	D-loop [15636:16864](+) None	source [0:16864](+) None	
['NC_018553']	Acanthopagrus schlegelii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Spariformes', 'Sparidae', 'Acanthopagrus']	        tRNA [15633:15704](-) ['tRNA-Pro']	D-loop [15704:16649](+) None	source [0:16649](+) None	
['NC_002756']	Lyciasalamandra atifi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Amphibia', 'Batrachia', 'Caudata', 'Salamandroidea', 'Salamandridae', 'Salamandrinae', 'Lyciasalamandra']	        tRNA [15655:15728](-) ['tRNA-Pro']	D-loop [15728:16650](+) None	source [0:16650](+) None	
['NC_018753']	Nomascus gabriellae	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Primates', 'Haplorrhini', 'Catarrhini', 'Hylobatidae', 'Nomascus']	        tRNA [15378:15446](-) ['tRNA-Pro']	D-loop [15446:16478](+) None	source [0:16478](+) None	
['NC_018822']	Protopterus annectens	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Dipnomorpha', 'Ceratodontiformes', 'Lepidosirenoidei', 'Protopteridae', 'Protopterus']	        tRNA [15398:15468](-) ['tRNA-Pro']	D-loop [15468:16657](+) None	source [0:16657](+) None	
['NC_018772']	Neochauliodes punctatolosus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Megaloptera', 'Corydalidae', 'Chauliodinae', 'Neochauliodes']	        rRNA [13938:14728](-) ['s-rRNA']	misc_feature [14728:15734](+) None	source [0:15734](+) None	
['NC_007889']	Denticeps clupeoides	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Clupei', 'Clupeiformes', 'Denticipitoidei', 'Denticipitidae', 'Denticeps']	        tRNA [15557:15626](-) ['tRNA-Pro']	D-loop [15626:17156](+) None	source [0:17156](+) None	
['NC_007890']	Grasseichthys gabonensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Gonorynchiformes', 'Kneriidae', 'Cromerinae', 'Grasseichthys']	        tRNA [15582:15653](-) ['tRNA-Pro']	D-loop [15653:16867](+) None	source [0:16867](+) None	
['NC_007882']	Kneria sp. SL-2004	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Gonorynchiformes', 'Kneriidae', 'Kneriinae', 'Kneria']	        tRNA [15593:15663](-) ['tRNA-Pro']	D-loop [15663:>16428](+) None	source [0:16428](+) None	
['NC_007891']	Parakneria cameronensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Gonorynchiformes', 'Kneriidae', 'Kneriinae', 'Parakneria']	        tRNA [15588:15657](-) ['tRNA-Pro']	D-loop [15657:16619](+) None	source [0:16619](+) None	
['NC_019584']	Apodemus draco	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Apodemus']	        tRNA [15344:15411](-) ['tRNA-Pro']	D-loop [15411:16282](+) None	source [0:16282](+) None	
['NC_019585']	Apodemus latronum	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Apodemus']	        tRNA [15347:15415](-) ['tRNA-Pro']	D-loop [15415:16288](+) None	source [0:16288](+) None	
['NC_019614']	Phoxinus keumkang	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Leuciscidae', 'Phoxininae', 'Phoxinus']	        tRNA [15602:15672](-) ['tRNA-Pro']	D-loop [15672:16604](+) None	source [0:16604](+) None	
['NC_019615']	Hoplobatrachus rugulosus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Amphibia', 'Batrachia', 'Anura', 'Neobatrachia', 'Ranoidea', 'Dicroglossidae', 'Dicroglossinae', 'Hoplobatrachus']	        misc_feature [19677:20199](+) None	tRNA [20237:20309](+) ['tRNA-Leu']	gene [18399:20235](+) None	
['NC_019646']	Hapalogenys analis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Lobotiformes', 'Hapalogenyidae', 'Hapalogenys']	        tRNA [15536:15608](+) ['tRNA-Thr']	D-loop [15608:16339](+) None	source [0:16339](+) None	
['NC_007443']	Lysiosquillina maculata	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Crustacea', 'Multicrustacea', 'Malacostraca', 'Eumalacostraca', 'Hoplocarida', 'Stomatopoda', 'Lysiosquillidae', 'Lysiosquillina']	        gene [16259:16325](-) None	tRNA [16259:16325](-) ['tRNA-Tyr']	gene [14854:14922](+) None	
['NC_019626']	Neotetracus sinensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Eulipotyphla', 'Erinaceidae', 'Galericinae', 'Neotetracus']	        tRNA [15399:15465](-) ['tRNA-Pro']	misc_feature [15465:16982](+) None	source [0:16982](+) None	
['NC_019604']	Gymnocypris przewalskii ganzihonensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Schizopygopsinae', 'Gymnocypris']	        tRNA [16454:16526](+) ['tRNA-Thr']	tRNA [16612:16682](-) ['tRNA-Pro']	tRNA [939:1008](+) ['tRNA-Phe']	
['NC_019605']	Gymnocypris eckloni	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Schizopygopsinae', 'Gymnocypris']	        tRNA [16458:16530](+) ['tRNA-Thr']	tRNA [16616:16686](-) ['tRNA-Pro']	tRNA [939:1008](+) ['tRNA-Phe']	
['NC_019653']	Metacrangonyx repens	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Crustacea', 'Multicrustacea', 'Malacostraca', 'Eumalacostraca', 'Peracarida', 'Amphipoda', 'Senticaudata', 'Hadziida', 'Hadzioidea', 'Metacrangonyctidae', 'Metacrangonyx']	        rRNA [13349:14037](-) ['s-rRNA']	misc_feature [14037:14307](+) None	source [0:14355](+) None	
['NC_019587']	Triplophysa rosa	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Nemacheilidae', 'Triplophysa']	        tRNA [15596:15666](-) ['tRNA-Pro']	D-loop [15666:16585](+) None	source [0:16585](+) None	
['NC_019592']	Hemibagrus macropterus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Siluriformes', 'Bagridae', 'Hemibagrus']	        tRNA [15568:15638](-) ['tRNA-Pro']	D-loop [15638:16530](+) None	source [0:16530](+) None	
['NC_019593']	Gorpis humeralis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Heteroptera', 'Panheteroptera', 'Cimicomorpha', 'Nabidae', 'Nabinae', 'Gorpis']	        rRNA [15990:16798](-) ['s-rRNA']	misc_feature [16798:18165](+) None	source [0:18165](+) None	
['NC_019594']	Nabis apicalis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Heteroptera', 'Panheteroptera', 'Cimicomorpha', 'Nabidae', 'Nabinae', 'Nabis', 'Mila']	        rRNA [13698:14518](-) ['s-rRNA']	misc_feature [14518:15588](+) None	source [0:15588](+) None	
['NC_019595']	Gorpis annulatus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Heteroptera', 'Panheteroptera', 'Cimicomorpha', 'Nabidae', 'Nabinae', 'Gorpis']	        rRNA [14667:15471](-) ['s-rRNA']	misc_feature [15471:16660](+) None	source [0:16660](+) None	
